Date, Open, High, Low, Close
07/28/99, 6297.22, 6297.22, 6297.22, 6297.22
07/27/99, 6262.83, 6262.83, 6262.83, 6262.83
07/26/99, 6169.13, 6169.13, 6169.13, 6169.13
07/23/99, 6207.42, 6207.42, 6207.42, 6207.42
07/22/99, 6297.75, 6297.75, 6297.75, 6297.75
07/21/99, 6329.83, 6329.83, 6329.83, 6329.83
07/20/99, 6391.99, 6391.99, 6391.99, 6391.99
07/19/99, 6483.72, 6483.70, 6483.70, 6483.72
07/16/99, 6563.25, 6563.25, 6563.25, 6563.25
07/15/99, 6574.99, 6574.99, 6574.99, 6574.99
07/14/99, 6473.14, 6473.14, 6473.14, 6473.14
07/13/99, 6445.62, 6445.62, 6445.62, 6445.62
07/12/99, 6545.47, 6545.47, 6545.47, 6545.47
07/09/99, 6562.60, 6562.60, 6562.60, 6562.60
07/08/99, 6557.34, 6557.34, 6557.34, 6557.34
07/07/99, 6597.42, 6597.42, 6597.42, 6597.42
07/06/99, 6620.63, 6620.63, 6620.63, 6620.63
07/05/99, 6592.00, 6592.00, 6592.00, 6592.00
07/02/99, 6491.92, 6491.92, 6491.92, 6491.92
07/01/99, 6488.90, 6488.90, 6488.90, 6488.90
06/30/99, 6318.53, 6318.53, 6318.53, 6318.53
06/29/99, 6307.08, 6307.08, 6307.08, 6307.08
06/28/99, 6405.75, 6405.75, 6405.75, 6405.75
06/25/99, 6435.43, 6435.43, 6435.43, 6435.43
06/24/99, 6416.69, 6416.69, 6416.69, 6416.69
06/23/99, 6496.47, 6496.50, 6496.50, 6496.47
06/22/99, 6552.42, 6552.42, 6552.42, 6552.42
06/21/99, 6581.25, 6581.25, 6581.25, 6581.25
06/18/99, 6527.81, 6527.81, 6527.81, 6527.81
06/17/99, 6493.61, 6493.61, 6493.61, 6493.61
06/16/99, 6504.88, 6504.88, 6504.88, 6504.88
06/15/99, 6451.24, 6451.24, 6451.24, 6451.24
06/14/99, 6430.15, 6430.15, 6430.15, 6430.15
06/11/99, 6484.79, 6484.79, 6484.79, 6484.79
06/10/99, 6403.41, 6403.41, 6403.41, 6403.41
06/09/99, 6453.01, 6453.01, 6453.01, 6453.01
06/08/99, 6431.54, 6431.54, 6431.54, 6431.54
06/07/99, 6412.03, 6412.03, 6412.03, 6412.03
