observation_date,DGS10
1994-12-20,7.81
1994-12-21,7.80
1994-12-22,7.84
1994-12-23,7.85
1994-12-26,
1994-12-27,7.76
1994-12-28,7.80
1994-12-29,7.82
1994-12-30,7.84
1995-01-02,
1995-01-03,7.88
1995-01-04,7.82
1995-01-05,7.88
1995-01-06,7.87
1995-01-09,7.89
1995-01-10,7.84
1995-01-11,7.79
1995-01-12,7.80
1995-01-13,7.69
1995-01-16,
1995-01-17,7.70
1995-01-18,7.71
1995-01-19,7.74
1995-01-20,7.82
1995-01-23,7.83
1995-01-24,7.86
1995-01-25,7.80
1995-01-26,7.76
1995-01-27,7.66
1995-01-30,7.65
1995-01-31,7.60
1995-02-01,7.66
1995-02-02,7.68
1995-02-03,7.49
1995-02-06,7.53
1995-02-07,7.52
1995-02-08,7.53
1995-02-09,7.58
1995-02-10,7.62
1995-02-13,7.61
1995-02-14,7.51
1995-02-15,7.45
1995-02-16,7.40
1995-02-17,7.43
1995-02-20,
1995-02-21,7.44
1995-02-22,7.34
1995-02-23,7.34
1995-02-24,7.33
1995-02-27,7.24
1995-02-28,7.22
1995-03-01,7.23
1995-03-02,7.30
1995-03-03,7.36
1995-03-06,7.41
1995-03-07,7.44
1995-03-08,7.36
1995-03-09,7.30
1995-03-10,7.23
1995-03-13,7.19
1995-03-14,7.09
1995-03-15,7.09
1995-03-16,7.05
1995-03-17,7.12
1995-03-20,7.12
1995-03-21,7.16
1995-03-22,7.21
1995-03-23,7.21
1995-03-24,7.09
1995-03-27,7.05
1995-03-28,7.16
1995-03-29,7.16
1995-03-30,7.18
1995-03-31,7.20
1995-04-03,7.14
1995-04-04,7.12
1995-04-05,7.12
1995-04-06,7.09
1995-04-07,7.11
1995-04-10,7.12
1995-04-11,7.09
1995-04-12,7.06
1995-04-13,7.03
1995-04-14,
1995-04-17,7.04
1995-04-18,7.04
1995-04-19,7.06
1995-04-20,7.02
1995-04-21,7.01
1995-04-24,7.01
1995-04-25,7.01
1995-04-26,7.01
1995-04-27,7.04
1995-04-28,7.07
1995-05-01,7.09
1995-05-02,7.04
1995-05-03,6.96
1995-05-04,6.85
1995-05-05,6.69
1995-05-08,6.70
1995-05-09,6.61
1995-05-10,6.66
1995-05-11,6.68
1995-05-12,6.67
1995-05-15,6.62
1995-05-16,6.57
1995-05-17,6.53
1995-05-18,6.61
1995-05-19,6.61
1995-05-22,6.63
1995-05-23,6.57
1995-05-24,6.44
1995-05-25,6.39
1995-05-26,6.40
1995-05-29,
1995-05-30,6.30
1995-05-31,6.30
1995-06-01,6.20
1995-06-02,6.10
1995-06-05,6.08
1995-06-06,6.08
1995-06-07,6.20
1995-06-08,6.22
1995-06-09,6.40
1995-06-12,6.37
1995-06-13,6.14
1995-06-14,6.15
1995-06-15,6.18
1995-06-16,6.21
1995-06-19,6.13
1995-06-20,6.16
1995-06-21,6.13
1995-06-22,6.04
1995-06-23,6.06
1995-06-26,6.11
1995-06-27,6.15
1995-06-28,6.10
1995-06-29,6.28
1995-06-30,6.21
1995-07-03,6.21
1995-07-04,
1995-07-05,6.19
1995-07-06,6.05
1995-07-07,6.04
1995-07-10,6.04
1995-07-11,6.09
1995-07-12,6.10
1995-07-13,6.09
1995-07-14,6.15
1995-07-17,6.22
1995-07-18,6.25
1995-07-19,6.43
1995-07-20,6.43
1995-07-21,6.53
1995-07-24,6.46
1995-07-25,6.43
1995-07-26,6.48
1995-07-27,6.43
1995-07-28,6.49
1995-07-31,6.45
1995-08-01,6.50
1995-08-02,6.44
1995-08-03,6.53
1995-08-04,6.50
1995-08-07,6.48
1995-08-08,6.47
1995-08-09,6.47
1995-08-10,6.51
1995-08-11,6.59
1995-08-14,6.59
1995-08-15,6.57
1995-08-16,6.54
1995-08-17,6.57
1995-08-18,6.57
1995-08-21,6.54
1995-08-22,6.57
1995-08-23,6.60
1995-08-24,6.50
1995-08-25,6.38
1995-08-28,6.34
1995-08-29,6.36
1995-08-30,6.33
1995-08-31,6.28
1995-09-01,6.22
1995-09-04,
1995-09-05,6.18
1995-09-06,6.17
1995-09-07,6.21
1995-09-08,6.24
1995-09-11,6.24
1995-09-12,6.16
1995-09-13,6.18
1995-09-14,6.08
1995-09-15,6.11
1995-09-18,6.17
1995-09-19,6.14
1995-09-20,6.10
1995-09-21,6.21
1995-09-22,6.25
1995-09-25,6.26
1995-09-26,6.28
1995-09-27,6.30
1995-09-28,6.28
1995-09-29,6.17
1995-10-02,6.15
1995-10-03,6.13
1995-10-04,6.12
1995-10-05,6.06
1995-10-06,6.06
1995-10-09,
1995-10-10,6.07
1995-10-11,6.09
1995-10-12,6.07
1995-10-13,5.97
1995-10-16,5.97
1995-10-17,5.97
1995-10-18,5.99
1995-10-19,5.98
1995-10-20,6.04
1995-10-23,6.07
1995-10-24,6.02
1995-10-25,6.00
1995-10-26,6.06
1995-10-27,6.05
1995-10-30,6.04
1995-10-31,6.03
1995-11-01,5.98
1995-11-02,5.92
1995-11-03,5.94
1995-11-06,5.96
1995-11-07,5.99
1995-11-08,5.92
1995-11-09,5.97
1995-11-10,6.00
1995-11-13,5.98
1995-11-14,5.97
1995-11-15,6.00
1995-11-16,5.93
1995-11-17,5.92
1995-11-20,5.93
1995-11-21,5.92
1995-11-22,5.93
1995-11-23,
1995-11-24,5.91
1995-11-27,5.88
1995-11-28,5.88
1995-11-29,5.85
1995-11-30,5.76
1995-12-01,5.71
1995-12-04,5.63
1995-12-05,5.65
1995-12-06,5.67
1995-12-07,5.72
1995-12-08,5.73
1995-12-11,5.71
1995-12-12,5.72
1995-12-13,5.74
1995-12-14,5.74
1995-12-15,5.75
1995-12-18,5.85
1995-12-19,5.81
1995-12-20,5.76
1995-12-21,5.77
1995-12-22,5.71
1995-12-25,
1995-12-26,5.69
1995-12-27,5.66
1995-12-28,5.63
1995-12-29,5.58
1996-01-01,
1996-01-02,5.60
1996-01-03,5.58
1996-01-04,5.65
1996-01-05,5.69
1996-01-08,5.68
1996-01-09,5.70
1996-01-10,5.80
1996-01-11,5.78
1996-01-12,5.75
1996-01-15,
1996-01-16,5.66
1996-01-17,5.58
1996-01-18,5.53
1996-01-19,5.54
1996-01-22,5.61
1996-01-23,5.66
1996-01-24,5.62
1996-01-25,5.70
1996-01-26,5.65
1996-01-29,5.69
1996-01-30,5.63
1996-01-31,5.60
1996-02-01,5.63
1996-02-02,5.66
1996-02-05,5.70
1996-02-06,5.68
1996-02-07,5.66
1996-02-08,5.66
1996-02-09,5.66
1996-02-12,5.61
1996-02-13,5.58
1996-02-14,5.62
1996-02-15,5.70
1996-02-16,5.76
1996-02-19,
1996-02-20,6.01
1996-02-21,5.98
1996-02-22,5.92
1996-02-23,5.97
1996-02-26,6.01
1996-02-27,6.06
1996-02-28,6.11
1996-02-29,6.13
1996-03-01,5.99
1996-03-04,5.92
1996-03-05,5.96
1996-03-06,6.05
1996-03-07,6.07
1996-03-08,6.41
1996-03-11,6.33
1996-03-12,6.36
1996-03-13,6.35
1996-03-14,6.36
1996-03-15,6.46
1996-03-18,6.43
1996-03-19,6.41
1996-03-20,6.34
1996-03-21,6.28
1996-03-22,6.32
1996-03-25,6.26
1996-03-26,6.25
1996-03-27,6.34
1996-03-28,6.41
1996-03-29,6.34
1996-04-01,6.31
1996-04-02,6.25
1996-04-03,6.27
1996-04-04,6.33
1996-04-05,6.57
1996-04-08,6.63
1996-04-09,6.56
1996-04-10,6.63
1996-04-11,6.68
1996-04-12,6.52
1996-04-15,6.47
1996-04-16,6.48
1996-04-17,6.52
1996-04-18,6.58
1996-04-19,6.53
1996-04-22,6.48
1996-04-23,6.52
1996-04-24,6.57
1996-04-25,6.56
1996-04-26,6.54
1996-04-29,6.59
1996-04-30,6.66
1996-05-01,6.68
1996-05-02,6.85
1996-05-03,6.90
1996-05-06,6.86
1996-05-07,6.87
1996-05-08,6.78
1996-05-09,6.84
1996-05-10,6.75
1996-05-13,6.72
1996-05-14,6.66
1996-05-15,6.65
1996-05-16,6.70
1996-05-17,6.65
1996-05-20,6.62
1996-05-21,6.65
1996-05-22,6.63
1996-05-23,6.68
1996-05-24,6.65
1996-05-27,
1996-05-28,6.67
1996-05-29,6.77
1996-05-30,6.78
1996-05-31,6.85
1996-06-03,6.87
1996-06-04,6.86
1996-06-05,6.82
1996-06-06,6.76
1996-06-07,6.93
1996-06-10,6.97
1996-06-11,6.99
1996-06-12,7.03
1996-06-13,7.01
1996-06-14,6.95
1996-06-17,6.90
1996-06-18,6.93
1996-06-19,6.96
1996-06-20,6.98
1996-06-21,6.96
1996-06-24,6.94
1996-06-25,6.91
1996-06-26,6.91
1996-06-27,6.83
1996-06-28,6.73
1996-07-01,6.74
1996-07-02,6.80
1996-07-03,6.78
1996-07-04,
1996-07-05,7.06
1996-07-08,7.05
1996-07-09,7.00
1996-07-10,6.95
1996-07-11,6.90
1996-07-12,6.85
1996-07-15,6.89
1996-07-16,6.84
1996-07-17,6.83
1996-07-18,6.72
1996-07-19,6.78
1996-07-22,6.84
1996-07-23,6.80
1996-07-24,6.87
1996-07-25,6.87
1996-07-26,6.85
1996-07-29,6.93
1996-07-30,6.89
1996-07-31,6.80
1996-08-01,6.65
1996-08-02,6.51
1996-08-05,6.53
1996-08-06,6.54
1996-08-07,6.55
1996-08-08,6.56
1996-08-09,6.50
1996-08-12,6.49
1996-08-13,6.57
1996-08-14,6.58
1996-08-15,6.62
1996-08-16,6.56
1996-08-19,6.59
1996-08-20,6.59
1996-08-21,6.61
1996-08-22,6.62
1996-08-23,6.72
1996-08-26,6.80
1996-08-27,6.78
1996-08-28,6.79
1996-08-29,6.86
1996-08-30,6.96
1996-09-02,
1996-09-03,6.92
1996-09-04,6.94
1996-09-05,6.98
1996-09-06,6.94
1996-09-09,6.90
1996-09-10,6.94
1996-09-11,6.94
1996-09-12,6.88
1996-09-13,6.74
1996-09-16,6.73
1996-09-17,6.81
1996-09-18,6.83
1996-09-19,6.87
1996-09-20,6.85
1996-09-23,6.83
1996-09-24,6.77
1996-09-25,6.71
1996-09-26,6.66
1996-09-27,6.68
1996-09-30,6.72
1996-10-01,6.65
1996-10-02,6.61
1996-10-03,6.61
1996-10-04,6.48
1996-10-07,6.53
1996-10-08,6.53
1996-10-09,6.55
1996-10-10,6.61
1996-10-11,6.55
1996-10-14,
1996-10-15,6.56
1996-10-16,6.57
1996-10-17,6.51
1996-10-18,6.50
1996-10-21,6.52
1996-10-22,6.56
1996-10-23,6.56
1996-10-24,6.57
1996-10-25,6.54
1996-10-28,6.56
1996-10-29,6.40
1996-10-30,6.40
1996-10-31,6.37
1996-11-01,6.38
1996-11-04,6.36
1996-11-05,6.28
1996-11-06,6.30
1996-11-07,6.26
1996-11-08,6.29
1996-11-11,
1996-11-12,6.19
1996-11-13,6.20
1996-11-14,6.15
1996-11-15,6.19
1996-11-18,6.20
1996-11-19,6.17
1996-11-20,6.14
1996-11-21,6.15
1996-11-22,6.15
1996-11-25,6.13
1996-11-26,6.13
1996-11-27,6.14
1996-11-28,
1996-11-29,6.06
